variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,mean,mean,244.7,290.96,0.21,2m_temperature_t1_s1_1736438958991_mean_mean.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,mean,min,244.59,290.75,0.22,2m_temperature_t1_s1_1736438958991_mean_min.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,mean,max,244.8,291.18,0.21,2m_temperature_t1_s1_1736438958991_mean_max.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,min,mean,208.28,283.61,0.24,2m_temperature_t1_s1_1736438958991_min_mean.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,min,min,205.29,283.48,0.23,2m_temperature_t1_s1_1736438958991_min_min.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,min,max,210.83,283.85,0.23,2m_temperature_t1_s1_1736438958991_min_max.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,max,mean,265.86,318.38,0.22,2m_temperature_t1_s1_1736438958991_max_mean.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,max,min,265.59,318.0,0.21,2m_temperature_t1_s1_1736438958991_max_min.nc
2m_temperature,90,40,180,-180,1955-01-01T00:00,1959-12-31T23:00,Y,1.0,max,max,266.25,319.36,0.21,2m_temperature_t1_s1_1736438958991_max_max.nc
2m_temperature,-70,-90,180,-180,1960-01-01T00:00,1964-12-31T23:00,Y,1.0,mean,mean,215.23,267.24,0.11,2m_temperature_t1_s1_1736515971326_mean_mean.nc
2m_temperature,-70,-90,180,-180,1960-01-01T00:00,1964-12-31T23:00,Y,1.0,mean,min,214.99,266.9,0.11,2m_temperature_t1_s1_1736515971326_mean_min.nc
2m_temperature,-70,-90,180,-180,1960-01-01T00:00,1964-12-31T23:00,Y,1.0,mean,max,215.49,267.65,0.11,2m_temperature_t1_s1_1736515971326_mean_max.nc
2m_temperature,-70,-90,180,-180,1960-01-01T00:00,1964-12-31T23:00,Y,1.0,min,mean,190.83,249.92,0.11,2m_temperature_t1_s1_1736515971326_min_mean.nc
2m_temperature,-70,-90,180,-180,1960-01-01T00:00,1964-12-31T23:00,Y,1.0,min,min,189.68,249.67,0.1,2m_temperature_t1_s1_1736515971326_min_min.nc
